"Sets","variable","value","station_id"
"Training set","Arima RMSE","0.0139669057348831","161"
"Test set","Arima RMSE","0.313787483870873","161"
"Training set","Random Walk RMSE","0.0328565329155938","161"
"Test set","Random Walk RMSE","0.210987059246631","161"
"Training set","Neural Networks RMSE","0.013967754249024","161"
"Test set","Neural Networks RMSE","0.313787483870873","161"
"Training set","Arima RMSE","0.00824586036905018","164"
"Test set","Arima RMSE","0.0250991281321682","164"
"Training set","Random Walk RMSE","0.00810750423525117","164"
"Test set","Random Walk RMSE","0.0298030274863987","164"
"Training set","Neural Networks RMSE","0.00842588835192444","164"
"Test set","Neural Networks RMSE","0.00890063858014974","164"
"Training set","Arima RMSE","0.00913817808149891","167"
"Test set","Arima RMSE","0.0213726489574126","167"
"Training set","Random Walk RMSE","0.0138793072485517","167"
"Test set","Random Walk RMSE","0.0101850908763636","167"
"Training set","Neural Networks RMSE","0.00914327487256195","167"
"Test set","Neural Networks RMSE","0.0213726489574126","167"
"Training set","Arima RMSE","0.0121672742120563","168"
"Test set","Arima RMSE","0.0461985006408978","168"
"Training set","Random Walk RMSE","0.0120679873324169","168"
"Test set","Random Walk RMSE","0.0216173255085939","168"
"Training set","Neural Networks RMSE","0.0122126397155902","168"
"Test set","Neural Networks RMSE","0.0359190276939024","168"
"Training set","Arima RMSE","0.0100368049937116","173"
"Test set","Arima RMSE","0.0175980074185997","173"
"Training set","Random Walk RMSE","0.00993127880975182","173"
"Test set","Random Walk RMSE","0.0181968485928909","173"
"Training set","Neural Networks RMSE","0.0100794125326689","173"
"Test set","Neural Networks RMSE","0.0183414577783036","173"
"Training set","Arima RMSE","0.013160236536858","174"
"Test set","Arima RMSE","0.166094850605457","174"
"Training set","Random Walk RMSE","0.0131017574155089","174"
"Test set","Random Walk RMSE","0.268788933272556","174"
"Training set","Neural Networks RMSE","0.0131610401859166","174"
"Test set","Neural Networks RMSE","0.166638886573688","174"
"Training set","Arima RMSE","0.00978265237509023","195"
"Test set","Arima RMSE","0.0212761579486578","195"
"Training set","Random Walk RMSE","0.016209503431622","195"
"Test set","Random Walk RMSE","0.152674838222358","195"
"Training set","Neural Networks RMSE","0.00979779925909228","195"
"Test set","Neural Networks RMSE","0.0212761579501408","195"
NA,NA,"Error in approx(idx, x[idx], 1:n, rule = 2) : 
  need at least two non-NA values to interpolate
","Error in approx(idx, x[idx], 1:n, rule = 2) : 
  need at least two non-NA values to interpolate
"
"Training set","Arima RMSE","0.00868756887513431","216"
"Test set","Arima RMSE","0","216"
"Training set","Random Walk RMSE","0.00832450391011711","216"
"Test set","Random Walk RMSE","0.000476578481711822","216"
"Training set","Neural Networks RMSE","0.00875847560001418","216"
"Test set","Neural Networks RMSE","0","216"
"Training set","Arima RMSE","0.0104586971998496","217"
"Test set","Arima RMSE","0.0482546572249411","217"
"Training set","Random Walk RMSE","0.010428065205907","217"
"Test set","Random Walk RMSE","0.0464006492303927","217"
"Training set","Neural Networks RMSE","0.0104806442152663","217"
"Test set","Neural Networks RMSE","0.0482546572249411","217"
"Training set","Arima RMSE","0.00551762043904045","218"
"Test set","Arima RMSE","0.0223288042352361","218"
"Training set","Random Walk RMSE","0.00546604918643492","218"
"Test set","Random Walk RMSE","0.0983714193532473","218"
"Training set","Neural Networks RMSE","0.00565469278425853","218"
"Test set","Neural Networks RMSE","0.0223288042352361","218"
"Training set","Arima RMSE","0.0131324590236841","223"
"Test set","Arima RMSE","0.0203271874117747","223"
"Training set","Random Walk RMSE","0.013121817533765","223"
"Test set","Random Walk RMSE","0.042922376423968","223"
"Training set","Neural Networks RMSE","0.0131439915768403","223"
"Test set","Neural Networks RMSE","0.0203278907045436","223"
"Training set","Arima RMSE","0.0113962825994996","224"
"Test set","Arima RMSE","0.0294474493282347","224"
"Training set","Random Walk RMSE","0.0131899205874134","224"
"Test set","Random Walk RMSE","0.104547395924089","224"
"Training set","Neural Networks RMSE","0.0114195373083774","224"
"Test set","Neural Networks RMSE","0.0294474493282347","224"
"Training set","Arima RMSE","0.0153380405960278","225"
"Test set","Arima RMSE","0.0529159465066249","225"
"Training set","Random Walk RMSE","0.0150206650196756","225"
"Test set","Random Walk RMSE","0.0611904160139964","225"
"Training set","Neural Networks RMSE","0.0153897990005869","225"
"Test set","Neural Networks RMSE","0.0529159465066249","225"
"Training set","Arima RMSE","0.00690581651177262","228"
"Test set","Arima RMSE","0.0156327305775689","228"
"Training set","Random Walk RMSE","0.00674842446373424","228"
"Test set","Random Walk RMSE","0.0147495718704867","228"
"Training set","Neural Networks RMSE","0.00713583979377653","228"
"Test set","Neural Networks RMSE","0.0153920304232731","228"
NA,NA,"Error in approx(idx, x[idx], 1:n, rule = 2) : 
  need at least two non-NA values to interpolate
","Error in approx(idx, x[idx], 1:n, rule = 2) : 
  need at least two non-NA values to interpolate
"
"Training set","Arima RMSE","0.0135947727220115","232"
"Test set","Arima RMSE","0.0350532945578198","232"
"Training set","Random Walk RMSE","0.0133638306080828","232"
"Test set","Random Walk RMSE","0.0346755818372593","232"
"Training set","Neural Networks RMSE","0.0136574476840134","232"
"Test set","Neural Networks RMSE","0.0350532945578198","232"
"Training set","Arima RMSE","0.00470825404932394","233"
"Test set","Arima RMSE","0.0218859209646924","233"
"Training set","Random Walk RMSE","0.00460660772178504","233"
"Test set","Random Walk RMSE","0.0223064923510333","233"
"Training set","Neural Networks RMSE","0.0047198277581491","233"
"Test set","Neural Networks RMSE","0.0218859209646924","233"
"Training set","Arima RMSE","0.0158195894695761","236"
"Test set","Arima RMSE","0.133784488399451","236"
"Training set","Random Walk RMSE","0.0154212047484368","236"
"Test set","Random Walk RMSE","0.174532872256493","236"
"Training set","Neural Networks RMSE","0.0161895429393894","236"
"Test set","Neural Networks RMSE","0.14548128352854","236"
"Training set","Arima RMSE","0.0150643768194406","237"
"Test set","Arima RMSE","0.039793555011188","237"
"Training set","Random Walk RMSE","0.0137244337289095","237"
"Test set","Random Walk RMSE","0.0459465327972458","237"
"Training set","Neural Networks RMSE","0.0151305464117506","237"
"Test set","Neural Networks RMSE","0.0397918097332813","237"
"Training set","Arima RMSE","0.0125379407450272","238"
"Test set","Arima RMSE","0.0824528581190573","238"
"Training set","Random Walk RMSE","0.0124421464623538","238"
"Test set","Random Walk RMSE","0.0810830576306453","238"
"Training set","Neural Networks RMSE","0.0125539863982775","238"
"Test set","Neural Networks RMSE","0.0824528581190573","238"
"Training set","Arima RMSE","0.00819086445386822","239"
"Test set","Arima RMSE","0.0315666595950985","239"
"Training set","Random Walk RMSE","0.00807730661640468","239"
"Test set","Random Walk RMSE","0.0215102938108143","239"
"Training set","Neural Networks RMSE","0.00829697052144638","239"
"Test set","Neural Networks RMSE","0.0218388129156881","239"
"Training set","Arima RMSE","0.0103736511855936","241"
"Test set","Arima RMSE","0.01636462288498","241"
"Training set","Random Walk RMSE","0.0253456714760349","241"
"Test set","Random Walk RMSE","0.144694653510114","241"
"Training set","Neural Networks RMSE","0.0104668980468732","241"
"Test set","Neural Networks RMSE","0.01636462288498","241"
"Training set","Arima RMSE","0.0102229568577084","242"
"Test set","Arima RMSE","0.115237898093031","242"
"Training set","Random Walk RMSE","0.0100486626883161","242"
"Test set","Random Walk RMSE","0.113584409252631","242"
"Training set","Neural Networks RMSE","0.0102896397130554","242"
"Test set","Neural Networks RMSE","0.115237898093031","242"
"Training set","Arima RMSE","0.006850513828393","243"
"Test set","Arima RMSE","0.0549323798941996","243"
"Training set","Random Walk RMSE","0.00681273654875637","243"
"Test set","Random Walk RMSE","0.0518330030351136","243"
"Training set","Neural Networks RMSE","0.00698719581739806","243"
"Test set","Neural Networks RMSE","0.0549335044062142","243"
"Training set","Arima RMSE","0.00635049498439053","244"
"Test set","Arima RMSE","0.0307440259209134","244"
"Training set","Random Walk RMSE","0.00629034927392765","244"
"Test set","Random Walk RMSE","0.0398218545056374","244"
"Training set","Neural Networks RMSE","0.00641891038899085","244"
"Test set","Neural Networks RMSE","0.0307440396892382","244"
"Training set","Arima RMSE","0.00715994759157503","245"
"Test set","Arima RMSE","0.0331817682316","245"
"Training set","Random Walk RMSE","0.00702490683400628","245"
"Test set","Random Walk RMSE","0.0711645008717914","245"
"Training set","Neural Networks RMSE","0.00718691016278881","245"
"Test set","Neural Networks RMSE","0.0352772795496756","245"
"Training set","Arima RMSE","0.02011251448307","247"
"Test set","Arima RMSE","0.0129099444873579","247"
"Training set","Random Walk RMSE","0.0250021315372856","247"
"Test set","Random Walk RMSE","0.21428843171881","247"
"Training set","Neural Networks RMSE","0.0201365245073122","247"
"Test set","Neural Networks RMSE","0.0129099444873581","247"
"Training set","Arima RMSE","0.00954349129964749","248"
"Test set","Arima RMSE","0.0294611237942943","248"
"Training set","Random Walk RMSE","0.00931524100779933","248"
"Test set","Random Walk RMSE","0.147054995997159","248"
"Training set","Neural Networks RMSE","0.00964299485676479","248"
"Test set","Neural Networks RMSE","0.0727530457855718","248"
"Training set","Arima RMSE","0.0112033368737475","249"
"Test set","Arima RMSE","0.0330950701485683","249"
"Training set","Random Walk RMSE","0.0111315703669413","249"
"Test set","Random Walk RMSE","0.0286129860459109","249"
"Training set","Neural Networks RMSE","0.0112951562767839","249"
"Test set","Neural Networks RMSE","0.031716623651025","249"
"Training set","Arima RMSE","0.015783830690848","250"
"Test set","Arima RMSE","0.0181950739721643","250"
"Training set","Random Walk RMSE","0.0157731190459208","250"
"Test set","Random Walk RMSE","0.0211475779618277","250"
"Training set","Neural Networks RMSE","0.0158253651148958","250"
"Test set","Neural Networks RMSE","0.0182574185835055","250"
"Training set","Arima RMSE","0.0186118696566797","251"
"Test set","Arima RMSE","0.208683495704833","251"
"Training set","Random Walk RMSE","0.0186062592293619","251"
"Test set","Random Walk RMSE","0.152101361747664","251"
"Training set","Neural Networks RMSE","0.0186131277923313","251"
"Test set","Neural Networks RMSE","0.213217775629838","251"
"Training set","Arima RMSE","0.0125938355258625","252"
"Test set","Arima RMSE","0.103274507222725","252"
